facility_name,facility_code,unit_code,power_mw,emissions_t,timestamp,lat,lon
Adelaide Desalination,ADP,ADPBA1,0.022,0.0,2026-05-09T12:40:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.005,0.0,2026-05-09T12:45:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.024,0.0,2026-05-09T12:50:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.039,0.0,2026-05-09T12:55:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.116,0.0,2026-05-09T13:00:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.059,0.0,2026-05-09T13:05:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.053,0.0,2026-05-09T13:10:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-4.648,0.0,2026-05-09T13:15:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-1.387,0.0,2026-05-09T13:20:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.071,0.0,2026-05-09T13:25:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.095,0.0,2026-05-09T13:30:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.092,0.0,2026-05-09T13:35:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.121,0.0,2026-05-09T13:40:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.004,0.0,2026-05-09T13:45:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.009,0.0,2026-05-09T13:50:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.014,0.0,2026-05-09T13:55:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.022,0.0,2026-05-09T14:00:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-1.692,0.0,2026-05-09T14:05:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-5.386,0.0,2026-05-09T14:10:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-2.665,0.0,2026-05-09T14:15:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.253,0.0,2026-05-09T14:20:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.105,0.0,2026-05-09T14:25:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-4.386,0.0,2026-05-09T14:30:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.027,0.0,2026-05-09T14:35:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.009,0.0,2026-05-09T14:40:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.009,0.0,2026-05-09T14:45:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.023,0.0,2026-05-09T14:50:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.126,0.0,2026-05-09T14:55:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.007,0.0,2026-05-09T15:00:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.036,0.0,2026-05-09T15:05:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.0,0.0,2026-05-09T15:10:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.09,0.0,2026-05-09T15:15:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.002,0.0,2026-05-09T15:20:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.0,0.0,2026-05-09T15:25:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.002,0.0,2026-05-09T15:30:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.067,0.0,2026-05-09T15:35:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.071,0.0,2026-05-09T15:40:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.009,0.0,2026-05-09T15:45:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,1.623,0.0,2026-05-09T15:50:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.009,0.0,2026-05-09T15:55:00+10:00,-35.100751,138.483357
